id,is_novel,revenue,popularity,vote_average,budget,release_year
308369,not novel,0,2.141506,7.7,0,2015
227973,not novel,246233113,2.140199,6.4,99000000,2015
321741,not novel,48623572,2.121884,6.9,35000000,2015
296100,not novel,52395996,2.096273,6.1,25000000,2015
263472,not novel,5214043,2.080935,4.8,2500000,2015
228205,not novel,63013281,2.070708,7.3,34000000,2015
159824,novel,466183544,2.060162,6.8,80000000,2015
333348,not novel,24000000,2.055572,5.3,17000000,2015
285783,not novel,61181942,2.049886,6.8,35000000,2015
290764,not novel,1863315,2.026651,5.9,11000000,2015
296099,not novel,104384188,2.000338,6.1,31000000,2015
243688,not novel,95437994,1.984529,5,35000000,2015
287424,not novel,187112,1.980039,5.1,4000000,2015
301875,not novel,2000000,1.959765,5.6,0,2015
181283,not novel,3324330,1.95632,5.9,50000000,2015
328425,not novel,58978653,1.926739,6.6,5000000,2015
274167,not novel,240360392,1.904898,5.7,50000000,2015
370687,not novel,0,1.876037,5.4,0,2015
307663,not novel,0,1.872696,4.1,10000000,2015
309809,not novel,97571250,1.865007,7.5,64000000,2015
258509,not novel,233755553,1.841779,5.7,0,2015
298382,not novel,18340000,1.82313,6.9,11930000,2015
272693,novel,43528634,1.758618,6.8,8500000,2015
283445,not novel,52882018,1.742286,5.5,10000000,2015
256961,not novel,107597242,1.73518,5.3,30000000,2015
326359,not novel,0,1.724712,7,0,2015
254302,not novel,0,1.661789,5.4,0,2015
241251,not novel,50163103,1.651078,3.9,4000000,2015
292040,not novel,0,1.646664,5.6,0,2015
188222,not novel,49263404,1.532997,6.2,30000000,2015
252838,not novel,79799880,1.510096,6.5,23000000,2015
273477,not novel,14860766,1.499614,6.2,15000000,2015
298312,not novel,98450062,1.495112,5.9,5000000,2015
261023,not novel,99775678,1.483246,6.3,53000000,2015
336004,not novel,50136,1.449072,5.4,8900000,2015
287903,not novel,61548707,1.448002,5.9,15000000,2015
182560,not novel,208588,1.443406,5.7,20000000,2015
192141,novel,54418872,1.41239,6.7,5000000,2015
308639,not novel,17986781,1.40805,7.3,700000,2015
261392,not novel,28208085,1.388251,5.9,28000000,2015
304357,not novel,61619773,1.388032,7.3,11000000,2015
297291,not novel,0,1.38032,4.5,0,2015
266294,not novel,105011053,1.376605,5.9,30000000,2015
227719,not novel,32248241,1.360926,6.3,12000000,2015
86828,not novel,5189646,1.360827,5.8,0,2015
287948,not novel,72629670,1.355822,5.3,25000000,2015
201085,not novel,74679822,1.345982,6.4,55000000,2015
277355,not novel,0,1.342839,5.1,0,2015
264999,not novel,122413057,1.338481,6.3,14800000,2015
146301,not novel,78099553,1.338322,5,10000000,2015
223485,not novel,229094,1.329702,6.6,0,2015
294016,not novel,8235661,1.316239,7.2,15000000,2015
290751,not novel,32189727,1.315266,6.2,19500000,2015
309245,not novel,2500431,1.29314,6.4,0,2015
228165,not novel,311594032,1.291013,5.7,74000000,2015
245706,not novel,4719695,1.284541,6,0,2015
272878,not novel,43967255,1.278928,7,20000000,2015
263109,not novel,59700000,1.25358,6.9,0,2015
157827,not novel,0,1.251681,6.3,11000000,2015
321751,not novel,1702433,1.245224,6.3,0,2015
266396,not novel,10664749,1.225325,5.6,40000000,2015
277685,not novel,62882090,1.191138,5.6,1000000,2015
268920,not novel,51680201,1.178831,5.5,35000000,2015
280092,not novel,104303851,1.164724,6.3,10000000,2015
193687,not novel,118483,1.161812,5.5,0,2015
300803,novel,0,1.144808,4.5,0,2015
328589,not novel,41387687,1.142518,5.9,6000000,2015
228066,novel,34227298,1.138395,5.5,40000000,2015
378373,not novel,0,1.128081,7.5,0,2015
291270,not novel,3759286,1.125239,6.7,8000000,2015
294963,not novel,0,1.073349,6.3,1800000,2015
241257,not novel,17671101,1.065888,5.2,0,2015
245698,not novel,0,1.063055,6.6,0,2015
353326,not novel,11472454,1.046518,7.1,0,2015
346808,not novel,0,1.041922,5.8,20000000,2015
250124,not novel,1477002,1.03839,6.8,2000000,2015
290637,not novel,0,1.036825,5.3,0,2015
244458,not novel,0,1.02762,6,0,2015
308504,not novel,3643591,1.021441,6.3,0,2015
314405,not novel,0,1.008474,5.7,12000000,2015
282984,not novel,27391084,1.007054,6.1,11000000,2015
157843,not novel,0,0.973316,6,15000000,2015
275601,not novel,41325328,0.956096,5.5,18000000,2015
290762,not novel,0,0.953647,7.2,0,2015
251516,not novel,0,0.953046,7.7,630019,2015
304372,not novel,60273173,0.950793,5.6,12000000,2015
324807,not novel,1936524,0.938432,5.8,0,2015
252512,not novel,7587485,0.93762,5.9,10000000,2015
257091,not novel,106511453,0.927339,5.9,40000000,2015
228968,not novel,0,0.91704,5.8,0,2015
347969,not novel,0,0.913085,4.8,60000000,2015
237756,not novel,0,0.90686,5.1,0,2015
293646,not novel,24902723,0.906036,5.8,25000000,2015
245168,not novel,16002420,0.898296,7.1,14000000,2015
311291,not novel,0,0.894477,6,0,2015
301351,not novel,11122090,0.880938,6.2,6000000,2015
248574,not novel,6075,0.880268,5.5,0,2015
225728,not novel,13192457,0.874641,6.4,0,2015
326425,not novel,16775,0.872149,4.2,0,2015
342474,not novel,0,0.861179,5.2,0,2015
277217,not novel,0,0.848748,6.7,0,2015
207936,not novel,0,0.843174,6.6,0,2015
250734,not novel,30229977,0.842202,6.9,0,2015
249688,not novel,3002884,0.836941,7.3,0,2015
268238,not novel,85978266,0.832487,6.4,10000000,2015
256962,not novel,6420319,0.829111,7.1,20000000,2015
322456,not novel,0,0.821443,6.4,0,2015
302528,not novel,1986615,0.820691,7.7,0,2015
222936,not novel,26250020,0.814206,5.2,37000000,2015
316002,not novel,0,0.813893,3.6,26000000,2015
365806,not novel,0,0.810667,5.3,0,2015
10317,novel,7002261,0.795762,5.7,28000000,2015
334538,not novel,0,0.792471,5.1,0,2015
306947,novel,231737,0.787969,6.4,0,2015
328901,not novel,0,0.781809,4.5,0,2015
382517,not novel,0,0.773909,5.6,0,2015
310133,not novel,134552,0.77107,5.5,0,2015
237584,not novel,0,0.768138,4.3,0,2015
288036,not novel,3214116,0.758133,6.2,0,2015
354110,not novel,0,0.747541,5.6,11000000,2015
331781,not novel,8413144,0.738404,7.5,0,2015
253161,not novel,0,0.7299,5.3,0,2015
312831,not novel,0,0.719407,4.9,0,2015
316322,not novel,0,0.714131,5.5,0,2015
301846,not novel,0,0.707355,4.9,0,2015
306745,not novel,573335,0.706023,7.1,7000000,2015
332340,not novel,0,0.70137,6.5,0,2015
292431,not novel,695269,0.699932,4.7,3000000,2015
300693,not novel,2541554,0.69957,6.4,9600000,2015
333381,not novel,0,0.696184,5,0,2015
256924,not novel,10835752,0.690479,6.6,10000000,2015
253414,not novel,3020664,0.689579,5.1,15000000,2015
254172,not novel,0,0.689571,7,2240000,2015
320588,not novel,14444999,0.673792,6.6,1000000,2015
157544,not novel,1784763,0.669351,4.5,13000000,2015
283235,not novel,1411927,0.661471,6.8,8000000,2015
243938,not novel,12314651,0.661163,5,14000000,2015
86835,not novel,0,0.654335,5.7,0,2015
254905,not novel,143101,0.654046,5,4000000,2015
309242,not novel,0,0.649628,5.7,0,2015
332502,not novel,0,0.644786,4.2,0,2015
286192,not novel,0,0.640151,7.3,0,2015
284674,not novel,0,0.638557,4.7,0,2015
360055,not novel,0,0.633608,5,0,2015
352179,not novel,0,0.629561,5.9,0,2015
246127,not novel,8034,0.607124,5.1,0,2015
338676,not novel,0,0.606113,5.3,0,2015
330982,not novel,0,0.604928,3.6,0,2015
232572,not novel,35991087,0.602165,5.4,8000000,2015
112454,not novel,0,0.599751,5.2,0,2015
243940,not novel,64110728,0.599655,4.9,3300000,2015
321528,not novel,0,0.589472,6.8,0,2015
317744,not novel,0,0.586735,5.4,8000000,2015
300792,not novel,0,0.584363,7.8,0,2015
239573,not novel,14431253,0.577814,4.9,35000000,2015
167810,not novel,45431,0.570744,5.7,2000000,2015
319075,not novel,0,0.569443,7.5,0,2015
316042,not novel,0,0.561032,5.7,0,2015
334527,not novel,0,0.560744,5.9,7000000,2015
300153,not novel,0,0.560423,5.9,12000000,2015
228203,not novel,45710059,0.553238,7.4,0,2015
332704,not novel,0,0.548587,5.4,0,2015
278236,not novel,0,0.547827,6,0,2015
276839,not novel,0,0.546458,4.9,3000000,2015
326215,not novel,0,0.542568,5.7,6000000,2015
363689,not novel,0,0.5327,4.1,0,2015
318256,not novel,0,0.532239,5.9,0,2015
299245,not novel,42664410,0.532205,5,100000,2015
333344,not novel,0,0.52985,4.8,0,2015
357096,not novel,0,0.527957,5,0,2015
309299,not novel,0,0.526642,6.9,0,2015
314385,not novel,3334927,0.524315,5.4,10000000,2015
333596,not novel,0,0.52025,6.8,0,2015
361042,not novel,0,0.516954,5.1,0,2015
353686,not novel,0,0.515401,5.5,0,2015
318954,not novel,1236094,0.514735,6.2,0,2015
289191,not novel,0,0.513386,4,0,2015
324333,not novel,0,0.50732,4.1,0,2015
252164,not novel,0,0.504828,5,0,2015
360784,not novel,0,0.502489,6.5,0,2015
336313,not novel,157768,0.497265,4.3,0,2015
240483,not novel,0,0.486351,4.9,21000000,2015
321494,not novel,0,0.482422,4.7,0,2015
353595,not novel,0,0.47784,6.8,0,2015
360603,not novel,0,0.476341,7.6,0,2015
264337,not novel,0,0.475473,6.6,0,2015
289716,not novel,0,0.474788,5.8,0,2015
296065,not novel,0,0.474626,5.6,0,2015
337029,not novel,0,0.473344,4.5,0,2015
317952,not novel,0,0.471393,7.5,0,2015
325358,not novel,0,0.471091,4.4,20000000,2015
272548,not novel,0,0.470991,6,0,2015
340275,not novel,0,0.470124,5.9,0,2015
309887,not novel,0,0.467556,5.8,5300000,2015
302429,not novel,13603453,0.465707,6.1,0,2015
253331,not novel,21571189,0.46209,6.7,9000000,2015
293771,not novel,0,0.459597,4.9,0,2015
323373,not novel,0,0.454151,6.5,0,2015
323027,not novel,0,0.452939,6.9,0,2015
297806,not novel,1646788,0.450872,5.6,13000000,2015
253626,not novel,316472,0.45016,5.7,0,2015
354251,not novel,0,0.444265,6,0,2015
329637,not novel,0,0.444193,4.1,0,2015
257444,not novel,0,0.443525,6.1,0,2015
355338,not novel,0,0.442835,7.3,0,2015
271736,not novel,3286448,0.442427,5.9,0,2015
309581,not novel,0,0.442067,5.2,0,2015
293970,not novel,0,0.441882,6.6,0,2015
279690,not novel,0,0.441402,6.3,0,2015
364067,not novel,0,0.439598,5.4,0,2015
318922,not novel,0,0.438409,5.5,0,2015
335077,not novel,0,0.437088,3.5,0,2015
266639,not novel,2333684,0.435582,5.7,5000000,2015
274504,not novel,0,0.433073,4.8,0,2015
244316,novel,0,0.429892,5,10000000,2015
352208,not novel,0,0.427116,7.2,0,2015
283587,not novel,90777,0.424813,7.5,6000000,2015
311539,novel,0,0.423161,5.6,0,2015
277713,not novel,0,0.42179,7.1,0,2015
347945,not novel,4505,0.429756,5.3,0,2015
363483,not novel,0,0.417191,6.3,0,2015
344854,not novel,0,0.415041,5.5,0,2015
234212,not novel,3387000,0.414913,5,3000000,2015
354220,not novel,0,0.370258,4.7,0,2015
283596,not novel,0,0.412877,5.7,0,2015
250225,novel,0,0.412503,5.8,1000000,2015
307479,not novel,0,0.409698,4.4,0,2015
339145,not novel,0,0.405095,6.2,0,2015
323660,not novel,0,0.404511,3.8,0,2015
308638,not novel,771317,0.402236,4.2,447524,2015
359983,not novel,0,0.250209,5.9,0,2015
300155,not novel,228136,0.399947,6.2,0,2015
328595,not novel,0,0.398982,6.1,0,2015
327528,not novel,830129,0.396791,6.8,0,2015
329540,not novel,0,0.394466,5.7,1950000,2015
306964,not novel,0,0.393642,5.3,0,2015
360387,novel,0,0.393566,4.4,1000000,2015
362185,not novel,0,0.391326,5.4,0,2015
94365,not novel,0,0.386529,3.5,0,2015
241855,not novel,49970,0.383406,6.5,0,2015
322518,not novel,0,0.383183,4.9,0,2015
291272,not novel,0,0.382997,5.5,0,2015
324963,not novel,0,0.71289,7,0,2015
342927,not novel,0,0.378836,3.8,0,2015
361159,not novel,0,0.37668,3.3,0,2015
365805,not novel,0,0.411416,3.6,0,2015
351964,not novel,0,0.374853,5.9,0,2015
362057,not novel,0,0.372889,5,0,2015
137333,not novel,0,0.371145,6.1,0,2015
317198,not novel,0,0.370148,6.5,0,2015
57876,not novel,0,0.369529,4.4,5000000,2015
339533,not novel,0,0.369108,3.7,0,2015
277546,not novel,0,0.36817,4.8,6000000,2015
308457,not novel,0,0.367617,6.4,0,2015
306482,not novel,0,0.367434,5.8,0,2015
362105,not novel,0,0.36603,7.2,4400000,2015
245846,not novel,17472,0.365901,5,10000000,2015
330112,not novel,0,0.329164,5.9,0,2015
322766,not novel,0,0.359826,5.4,0,2015
361931,not novel,0,0.357654,6.5,0,2015
318224,not novel,0,0.357614,7.8,0,2015
309503,not novel,0,0.357567,5.5,0,2015
348811,not novel,0,0.356519,4.9,0,2015
310135,not novel,0,0.354624,6.6,0,2015
355111,not novel,0,0.350858,6.3,0,2015
335866,not novel,0,0.350599,6.1,0,2015
295592,not novel,16661077,0.348306,6.3,0,2015
335970,not novel,0,0.347797,4.2,0,2015
366142,not novel,0,0.344994,5.9,0,2015
310121,not novel,7449681,0.344549,6.2,0,2015
361263,not novel,0,0.34253,5.6,0,2015
324308,not novel,494506,0.574031,6.2,0,2015
326923,not novel,0,0.339297,5.9,0,2015
356842,not novel,0,0.511431,5.9,0,2015
339530,not novel,0,0.336453,5.1,0,2015
331190,not novel,2801508,0.336107,5.7,2000000,2015
301729,not novel,0,0.335941,4.6,0,2015
395883,not novel,0,0.333656,4.7,0,2015
356300,not novel,0,0.332921,4.7,0,2015
218784,not novel,70958,0.330968,5.6,0,2015
310137,not novel,0,0.330484,5.4,0,2015
342917,not novel,0,0.329776,6.1,0,2015
79698,not novel,0,0.329109,4.6,27000000,2015
337960,not novel,0,0.327373,7.9,0,2015
296130,not novel,0,0.327066,4.2,0,2015
327418,not novel,0,0.32705,5.8,0,2015
246133,not novel,0,0.324666,4,0,2015
328869,not novel,0,0.324515,6.4,0,2015
308032,not novel,643557,0.324,6.8,0,2015
329829,not novel,0,0.390188,6.1,0,2015
330544,not novel,0,0.322653,5.9,0,2015
299551,not novel,0,0.32264,5.3,0,2015
207270,not novel,0,0.30035,4.2,0,2015
307946,not novel,0,0.318459,5.7,0,2015
356905,not novel,0,0.315196,6.1,0,2015
318279,not novel,2334228,0.314199,6.9,0,2015
345637,not novel,0,0.422901,6.9,0,2015
284286,not novel,3447633,0.307395,5.9,0,2015
340816,not novel,0,0.305916,5.8,0,2015
206197,not novel,0,0.302474,6.6,0,2015
331446,not novel,0,0.301343,4.5,0,2015
351901,not novel,0,0.300128,4.5,0,2015
357681,not novel,0,0.198522,8,0,2015
333657,not novel,4444,0.299427,6.3,0,2015
336845,not novel,0,0.298861,6.3,0,2015
343795,not novel,4842699,0.298751,5.7,5000000,2015
294562,not novel,0,0.298628,5.6,0,2015
306197,not novel,0,0.295946,5.7,0,2015
297556,not novel,0,0.404363,6.5,3500000,2015
354743,not novel,0,0.26501,6.3,0,2015
157422,not novel,0,0.292437,4.1,0,2015
316885,not novel,0,0.291244,5.7,0,2015
228973,not novel,0,0.290424,5.8,0,2015
323967,not novel,0,0.289526,5.2,700000,2015
320048,not novel,0,0.288598,5.2,500000,2015
359305,not novel,0,0.309811,7.8,0,2015
329004,not novel,0,0.286266,6.4,0,2015
362180,not novel,0,0.28337,3.9,0,2015
343284,not novel,0,0.283194,5.7,2000000,2015
243752,not novel,0,0.282237,4.1,0,2015
291866,not novel,0,0.280878,5.5,0,2015
330127,not novel,0,0.278583,5.8,0,2015
323694,not novel,0,0.277844,4.8,0,2015
334028,not novel,0,0.277613,3.9,0,2015
354924,not novel,0,0.277035,4.6,1000000,2015
368256,not novel,0,0.272995,3.7,0,2015
324291,not novel,0,0.270842,7.1,0,2015
347847,not novel,0,0.270786,3.9,0,2015
295490,not novel,0,0.171829,4.9,0,2015
253406,not novel,0,0.264997,6,0,2015
291865,not novel,0,0.261932,6.1,0,2015
334531,not novel,0,0.261717,6.9,20000000,2015
324803,not novel,0,0.260045,3.9,0,2015
339355,not novel,0,0.202673,5.3,0,2015
309304,not novel,7087452,0.259794,5.6,600000,2015
339342,not novel,0,0.097514,5.6,0,2015
306966,not novel,0,0.256542,5.3,0,2015
226458,not novel,0,0.256286,4.6,0,2015
339148,not novel,0,0.255458,5.4,0,2015
340684,not novel,0,0.250866,7.2,0,2015
340968,not novel,0,0.249595,7.7,0,2015
347754,not novel,0,0.248964,4.4,0,2015
326284,not novel,0,0.24828,5.4,7500000,2015
317144,not novel,0,0.247595,6.4,0,2015
277558,not novel,0,0.247589,4.8,0,2015
338928,not novel,2642899,0.247426,5.3,0,2015
291189,not novel,0,0.246609,5,0,2015
309425,not novel,0,0.245948,7.4,0,2015
287689,not novel,0,0.24495,6.4,0,2015
363869,not novel,0,0.244648,6.1,0,2015
325189,not novel,0,0.243691,6.4,0,2015
298582,not novel,0,0.243321,7.2,1500000,2015
301228,not novel,0,0.242078,4.4,1500000,2015
343934,not novel,0,0.242,5.6,0,2015
296025,not novel,0,0.241284,5.8,0,2015
371442,not novel,0,0.239558,5.1,0,2015
325173,not novel,0,0.239496,5,0,2015
282313,not novel,0,0.154846,5.1,0,2015
300542,not novel,0,0.236709,5.6,0,2015
309924,not novel,161820,0.232354,6.3,0,2015
348634,not novel,0,0.231337,7,0,2015
318044,not novel,0,0.22758,7.7,0,2015
259958,not novel,0,0.22537,6.1,0,2015
316715,not novel,0,0.224797,6.2,0,2015
308027,not novel,0,0.222636,6.6,0,2015
279144,not novel,0,0.221502,6.8,0,2015
355020,not novel,0,0.220751,8.2,0,2015
323665,not novel,0,0.133809,6.1,0,2015
358895,not novel,30400,0.219603,6.2,0,2015
347548,not novel,0,0.218787,5.6,0,2015
353345,not novel,0,0.218528,5,0,2015
323370,not novel,0,0.21789,4.3,0,2015
337958,not novel,0,0.355707,7,0,2015
333674,not novel,0,0.217288,5.8,0,2015
301728,not novel,0,0.215864,5,0,2015
366018,not novel,0,0.215386,5.5,0,2015
256030,not novel,0,0.214563,3.3,0,2015
356149,not novel,0,0.212872,2.6,0,2015
300666,not novel,0,0.21254,6.2,0,2015
347642,not novel,0,0.211768,4.9,0,2015
373558,not novel,0,0.209036,7.6,0,2015
367326,not novel,0,0.208491,7.7,0,2015
329205,not novel,0,0.230913,4.9,0,2015
386501,not novel,0,0.207366,6.4,0,2015
321769,not novel,0,0.207133,6.9,0,2015
251471,not novel,0,0.206155,6.5,650000,2015
174340,not novel,0,0.205318,6.7,0,2015
309298,not novel,0,0.204356,4,0,2015
285840,not novel,0,0.203224,6,0,2015
308077,not novel,0,0.299226,5,0,2015
321109,not novel,0,0.201696,7.8,0,2015
341886,not novel,0,0.260306,4,0,2015
308024,not novel,1100000,0.335255,5.9,0,2015
356216,not novel,0,0.19957,4.7,2500000,2015
311615,not novel,0,0.198261,5.3,0,2015
333873,not novel,0,0.197788,5.5,0,2015
362154,not novel,0,0.197239,6.4,0,2015
293941,not novel,0,0.195324,5.3,0,2015
360203,not novel,0,0.253157,5.5,0,2015
294132,not novel,104507,0.193323,5.1,0,2015
301629,not novel,0,0.193063,4.8,0,2015
331592,not novel,0,0.19254,5.3,0,2015
342464,not novel,0,0.191534,7,0,2015
332976,not novel,0,0.189135,5,0,2015
367551,not novel,0,0.28365,5.2,0,2015
353610,not novel,0,0.270408,4,0,2015
316410,not novel,0,0.334085,3.1,0,2015
106845,not novel,0,0.13631,4.7,9500000,2015
339362,not novel,0,0.181987,5.4,0,2015
323966,not novel,0,0.179636,4.6,0,2015
354857,not novel,0,0.087904,7.4,3000000,2015
333653,not novel,0,0.176744,5.4,0,2015
323366,not novel,0,0.176463,4.2,0,2015
75861,not novel,0,0.253949,6.9,3400000,2015
283698,not novel,6921,0.172245,6.2,0,2015
363889,not novel,0,0.170743,6.1,0,2015
329020,not novel,0,0.170566,5.4,0,2015
323272,not novel,67790117,0.731022,6.9,3000000,2015
343921,not novel,0,0.168354,4.4,0,2015
361671,not novel,0,0.129455,7.2,0,2015
346494,not novel,0,0.16414,7.4,0,2015
321974,not novel,0,0.162526,7.5,0,2015
363757,not novel,0,0.162465,5.2,0,2015
328820,not novel,0,0.158311,6.2,0,2015
359255,not novel,0,0.158021,3.5,0,2015
355178,not novel,0,0.157172,7.5,0,2015
310491,not novel,0,0.156851,3.5,0,2015
319096,not novel,0,0.154161,4.7,0,2015
285024,not novel,0,0.153023,6.9,0,2015
360341,not novel,0,0.150713,6.4,0,2015
329556,not novel,0,0.14964,5.7,1000000,2015
241927,not novel,0,0.14811,3.5,0,2015
347751,not novel,0,0.147319,6.2,0,2015
287692,not novel,0,0.146266,6.2,0,2015
321668,not novel,0,0.145945,4.1,0,2015
315024,not novel,0,0.145489,5.7,0,2015
323674,not novel,0,0.270378,5.5,0,2015
345944,not novel,0,0.144639,7,0,2015
300686,not novel,0,0.143703,6.7,0,2015
324253,not novel,0,0.143042,7,0,2015
395560,not novel,0,0.142759,5.3,1300000,2015
312827,not novel,28281,0.121594,5.7,0,2015
308084,not novel,0,0.266117,7,0,2015
268725,not novel,0,0.139527,3.9,0,2015
308361,not novel,0,0.139356,4.9,0,2015
327029,not novel,0,0.138353,7.4,0,2015
249916,not novel,0,0.138068,5.8,0,2015
331161,not novel,0,0.236145,5.6,0,2015
339065,not novel,0,0.137772,7.6,0,2015
244563,not novel,0,0.137133,6.2,0,2015
360605,not novel,0,0.136098,6.5,0,2015
315855,not novel,0,0.135554,5.7,0,2015
319152,not novel,0,0.135074,5.7,0,2015
369058,not novel,0,0.133921,7.6,0,2015
347762,not novel,0,0.131739,4.2,0,2015
325113,not novel,0,0.129104,7.3,0,2015
336167,not novel,0,0.127432,3.5,0,2015
320996,not novel,0,0.126594,6.6,0,2015
312797,not novel,0,0.126187,5.8,0,2015
312804,not novel,0,0.124784,5.2,0,2015
339751,not novel,0,0.124481,7.2,0,2015
333350,not novel,0,0.122543,8,0,2015
351043,not novel,0,0.137954,4.1,3000000,2015
224972,not novel,0,0.114264,8.9,0,2015
295595,not novel,0,0.11303,7.2,0,2015
371758,not novel,0,0.112284,7.7,0,2015
317981,novel,0,0.11096,5.5,0,2015
309889,not novel,0,0.110431,3.2,0,2015
333103,not novel,0,0.110136,7,0,2015
263105,not novel,0,0.11004,7.4,0,2015
319076,not novel,0,0.109689,7,0,2015
309063,not novel,0,0.138559,2.4,0,2015
278247,not novel,0,0.10808,6.2,0,2015
355131,not novel,0,0.108072,7.5,0,2015
332839,not novel,0,0.106757,4.2,0,2015
367215,not novel,0,0.106091,8.2,0,2015
261860,not novel,0,0.213957,7.5,0,2015
362434,not novel,0,0.101543,5.1,0,2015
371759,not novel,0,0.068741,8,0,2015
316761,not novel,0,0.101426,7.3,0,2015
341077,not novel,0,0.101155,5.3,0,2015
321160,not novel,0,0.10091,6.5,0,2015
330037,not novel,0,0.099678,6.3,0,2015
347944,not novel,0,0.09779,3.8,0,2015
373977,not novel,0,0.031635,6.2,0,2015
279972,not novel,0,0.097214,5.4,0,2015
306952,not novel,0,0.096624,6,0,2015
339060,not novel,0,0.096299,5.1,0,2015
362439,not novel,0,0.093462,4.6,0,2015
355600,not novel,0,0.093212,7.3,0,2015
346170,not novel,0,0.100069,5.2,0,2015
308447,not novel,0,0.090238,5.5,0,2015
348035,not novel,0,0.090045,6.7,0,2015
298032,not novel,0,0.088912,4,0,2015
371833,not novel,0,0.088764,5.3,0,2015
295886,novel,0,0.083912,7.4,1900000,2015
300654,not novel,0,0.283128,6.5,0,2015
365717,not novel,0,0.082569,6.1,0,2015
321594,not novel,0,0.082444,7.7,0,2015
307931,not novel,1301696,0.081956,6.9,0,2015
340247,not novel,0,0.156386,5.3,0,2015
326665,not novel,0,0.08182,7.1,0,2015
332706,not novel,0,0.080974,4.8,0,2015
